,x,y
1029,1.3,-4.92
1030,1.3,-4.8
1031,1.3,-4.68
1032,1.3,-4.56
1033,1.3,-4.44
1034,1.3,-4.32
1035,1.3,-4.2
1036,1.3,-4.08
1037,1.3,-3.96
1038,1.3,-3.84
1039,1.3,-3.72
1040,1.3,-3.6
1041,1.3,-3.48
1042,1.3,-3.36
1043,1.3,-3.24
1044,1.3,-3.12
1045,1.3,-3.0
1046,1.3,-2.88
1047,1.3,-2.76
1048,1.3,-2.64
1049,1.3,-2.52
1050,1.3,-2.4
1051,1.3,-2.28
1052,1.3,-2.16
1053,1.3,-2.04
1054,1.3,-1.92
1055,1.3,-1.8
1056,1.3,-1.68
1057,1.3,-1.56
1058,1.3,-1.44
1059,1.3,-1.32
1060,1.3,-1.2
1061,1.3,-1.08
1062,1.3,-0.96
1063,1.3,-0.84
1064,1.3,-0.72
1065,1.3,-0.6
1066,1.3,-0.48
1067,1.3,-0.36
1068,1.3,-0.24
1069,1.3,-0.12
1070,1.3,0.0
1071,1.3,0.12
1072,1.3,0.24
1073,1.3,0.36
1074,1.3,0.48
1075,1.3,0.6
1076,1.3,0.72
1077,1.3,0.84
1078,1.3,0.96
1079,1.3,1.08
1080,1.3,1.2
1081,1.3,1.32
1082,1.3,1.44
1083,1.3,1.56
1084,1.3,1.68
1085,1.3,1.8
1086,1.3,1.92
1087,1.3,2.04
1088,1.3,2.16
1089,1.3,2.28
1090,1.3,2.4
1091,1.3,2.52
1092,1.3,2.64
1093,1.3,2.76
1094,1.3,2.88
1095,1.3,3.0
1096,1.3,3.12
1097,1.3,3.24
1098,1.3,3.36
1099,1.3,3.48
1100,1.3,3.6
1101,1.3,3.72
1102,1.3,3.84
1103,1.3,3.96
1104,1.3,4.08
1105,1.3,4.2
1106,1.3,4.32
1107,1.3,4.44
1108,1.3,4.56
1109,1.3,4.68
1110,1.3,4.8
1111,1.3,4.92
1112,1.3,5.04
1113,1.3,5.16
1114,1.3,5.28
1115,1.3,5.4
1116,1.3,5.52
1117,1.3,5.64
1118,1.3,5.76
1119,1.3,5.88
1120,1.3,6.0
1121,1.3,6.12
1122,1.43,-6.0
1123,1.43,-5.88
1124,1.43,-5.76
1125,1.43,-5.64
1126,1.43,-5.52
1127,1.43,-5.4
1128,1.43,-5.28
1129,1.43,-5.16
1130,1.43,-5.04
1131,1.43,-4.92
1132,1.43,-4.8
1133,1.43,-4.68
1134,1.43,-4.56
1135,1.43,-4.44
1136,1.43,-4.32
1137,1.43,-4.2
1138,1.43,-4.08
1139,1.43,-3.96
1140,1.43,-3.84
1141,1.43,-3.72
1142,1.43,-3.6
1143,1.43,-3.48
1144,1.43,-3.36
1145,1.43,-3.24
1146,1.43,-3.12
1147,1.43,-3.0
1148,1.43,-2.88
1149,1.43,-2.76
1150,1.43,-2.64
1151,1.43,-2.52
1152,1.43,-2.4
1153,1.43,-2.28
1154,1.43,-2.16
1155,1.43,-2.04
1156,1.43,-1.92
1157,1.43,-1.8
1158,1.43,-1.68
1159,1.43,-1.56
1160,1.43,-1.44
1161,1.43,-1.32
1162,1.43,-1.2
1163,1.43,-1.08
1164,1.43,-0.96
1165,1.43,-0.84
1166,1.43,-0.72
1167,1.43,-0.6
1168,1.43,-0.48
1169,1.43,-0.36
1170,1.43,-0.24
1171,1.43,-0.12
1172,1.43,0.0
1173,1.43,0.12
1174,1.43,0.24
1175,1.43,0.36
1176,1.43,0.48
1177,1.43,0.6
1178,1.43,0.72
1179,1.43,0.84
1180,1.43,0.96
1181,1.43,1.08
1182,1.43,1.2
1183,1.43,1.32
1184,1.43,1.44
1185,1.43,1.56
1186,1.43,1.68
1187,1.43,1.8
1188,1.43,1.92
1189,1.43,2.04
1190,1.43,2.16
1191,1.43,2.28
1192,1.43,2.4
1193,1.43,2.52
1194,1.43,2.64
1195,1.43,2.76
1196,1.43,2.88
1197,1.43,3.0
1198,1.43,3.12
1199,1.43,3.24
1200,1.43,3.36
1201,1.43,3.48
1202,1.43,3.6
1203,1.43,3.72
1204,1.43,3.84
1205,1.43,3.96
1206,1.43,4.08
1207,1.43,4.2
1208,1.43,4.32
1209,1.43,4.44
1210,1.43,4.56
1211,1.43,4.68
1212,1.43,4.8
1213,1.43,4.92
1214,1.43,5.04
1215,1.43,5.16
1216,1.43,5.28
1217,1.43,5.4
1218,1.43,5.52
1219,1.43,5.64
1220,1.43,5.76
1221,1.43,5.88
1222,1.43,6.0
1223,1.43,6.12
1224,1.56,-6.0
1225,1.56,-5.88
1226,1.56,-5.76
1227,1.56,-5.64
1228,1.56,-5.52
1229,1.56,-5.4
1230,1.56,-5.28
1231,1.56,-5.16
1232,1.56,-5.04
1233,1.56,-4.92
1234,1.56,-4.8
1235,1.56,-4.68
1236,1.56,-4.56
1237,1.56,-4.44
1238,1.56,-4.32
1239,1.56,-4.2
1240,1.56,-4.08
1241,1.56,-3.96
1242,1.56,-3.84
1243,1.56,-3.72
1244,1.56,-3.6
1245,1.56,-3.48
1246,1.56,-3.36
1247,1.56,-3.24
1248,1.56,-3.12
1249,1.56,-3.0
1250,1.56,-2.88
1251,1.56,-2.76
1252,1.56,-2.64
1253,1.56,-2.52
1254,1.56,-2.4
1255,1.56,-2.28
1256,1.56,-2.16
1257,1.56,-2.04
1258,1.56,-1.92
